"","chatter","current_events","travel","photo_sharing","uncategorized","tv_film","sports_fandom","politics","food","family","home_and_garden","music","news","online_gaming","shopping","health_nutrition","college_uni","sports_playing","cooking","eco","computers","business","outdoors","crafts","automotive","art","religion","beauty","parenting","dating","school","personal_fitness","fashion","small_business","spam","adult"
"2hqia7c3z",3,1,0,2,1,1,2,0,0,1,0,1,0,0,0,3,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
"2lnfu1ks7",4,1,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"8wpenbmd7",11,4,2,15,1,2,3,2,1,0,1,3,3,2,5,0,4,2,14,0,1,0,1,1,2,2,0,9,2,3,1,5,6,0,0,0
"ack7umv3o",1,1,0,1,2,0,1,0,2,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,2,0,2,1,2,0,1,0,0,1,0,4
"jrifwbgc6",2,1,8,1,0,1,2,6,1,1,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0
"j2png1adh",2,1,1,3,0,0,1,0,1,2,1,0,0,13,0,3,11,2,0,0,0,0,0,0,0,3,0,0,0,2,2,1,1,0,0,0
"lgeqfj8ic",3,2,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hrljnes2b",5,2,5,18,3,0,1,6,2,0,0,1,2,0,0,3,0,2,22,0,2,1,0,0,1,0,1,4,1,0,2,1,15,0,0,0
"vncodqlas",4,0,2,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"gm2yufxsn",4,2,1,6,1,1,0,0,1,2,2,1,0,0,2,0,1,0,13,1,0,0,0,0,0,0,0,5,0,0,0,1,9,0,0,0
"uvqwyef1j",2,1,7,1,0,2,0,11,1,0,0,0,4,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0
"1uh8o9ba7",2,0,0,0,1,0,1,0,1,0,0,3,1,1,1,1,1,0,2,1,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0,7
"x6u8esit7",3,2,0,1,1,0,6,0,1,1,0,1,1,6,0,1,7,0,0,0,1,0,2,4,2,0,6,0,5,1,2,2,0,0,0,10
"618gacebv",6,2,4,0,2,0,1,5,0,2,2,1,1,1,0,14,0,0,1,2,3,0,0,2,0,1,1,0,0,5,2,3,2,0,0,0
"q6wlkujz5",3,3,1,2,0,6,0,3,1,0,2,1,1,0,2,0,0,0,1,0,3,1,1,0,0,5,1,0,0,1,1,0,0,0,0,0
"ig1lr235y",2,1,4,2,1,1,2,1,1,1,1,0,0,1,1,7,0,2,1,1,0,0,1,0,0,1,0,0,1,0,1,3,2,0,0,0
"odr4lwhja",1,4,6,2,1,0,0,5,1,0,0,0,4,0,0,0,1,1,1,1,2,1,0,3,0,0,0,1,0,0,1,0,0,0,0,10
"ol6gxw4jp",2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0
"7tgkhcv19",10,0,0,9,0,1,0,1,1,1,0,0,1,0,5,1,1,1,5,0,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0
"wbvx4368s",1,2,4,1,3,0,1,4,3,0,1,0,1,2,0,0,3,0,1,0,1,0,0,0,1,1,5,0,4,0,1,1,2,0,0,0
"8fsyo46lh",6,6,3,3,0,1,1,1,0,0,1,0,3,0,5,5,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,4,0,1,0,0
"dn2cwh3tb",4,1,0,1,1,0,1,2,1,1,0,1,1,0,1,0,0,0,6,0,1,0,0,1,0,1,0,2,1,0,0,0,7,2,0,0
"yrdgo4tpe",11,1,2,4,1,0,0,0,1,1,0,1,1,0,1,1,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"izr9231ml",5,1,1,10,0,1,0,5,0,1,0,1,1,16,4,7,12,3,19,2,1,0,4,0,0,0,2,6,2,2,2,1,12,0,0,0
"aribj7489",4,0,0,2,2,1,1,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0
"poq9r4xzl",5,1,1,7,1,1,2,2,0,0,0,1,1,2,3,0,2,1,10,0,0,1,0,0,0,0,0,4,0,0,0,1,8,0,0,0
"4nbp95io3",2,1,0,1,2,1,3,1,9,4,1,1,0,1,1,5,0,2,4,2,0,0,0,2,0,0,10,1,4,0,1,5,0,0,0,0
"9el5chdnv",1,0,2,1,0,0,0,1,1,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
"bao6xk9rg",7,1,1,2,0,0,2,0,2,1,1,2,0,1,1,1,0,0,1,1,0,1,2,0,0,0,1,0,1,0,0,2,0,0,0,0
"7rkjszb59",6,0,1,1,0,1,3,13,0,1,0,0,5,0,0,0,0,0,1,0,0,0,1,1,8,2,1,0,4,0,1,1,0,0,0,0
"d7fk1t36v",5,2,0,6,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"8e327kyta",9,0,5,5,1,0,0,8,1,1,1,0,1,0,0,6,1,2,8,0,0,1,1,0,0,1,1,1,0,7,2,5,3,0,0,0
"wpth9gl5n",2,0,1,3,1,1,1,0,1,0,0,0,0,13,0,0,7,3,1,0,1,1,0,1,0,1,0,0,2,1,0,1,1,0,0,0
"esygx3rn7",3,3,0,3,1,1,0,4,2,0,0,0,1,0,0,14,1,0,3,0,1,1,1,2,0,4,0,1,1,1,1,5,0,1,0,0
"4vwpxtbfz",1,2,2,2,2,2,3,3,3,0,0,1,3,0,0,0,7,1,0,1,0,1,1,0,3,0,9,1,7,0,2,0,0,3,0,0
"7tvl324na",1,1,0,0,2,1,1,0,4,0,1,0,2,3,0,14,0,2,0,2,0,0,3,0,0,1,2,0,1,0,0,14,2,1,0,0
"34n2jslgh",6,4,0,4,0,0,1,2,5,3,0,1,0,8,4,10,10,2,4,2,0,0,2,0,0,1,7,1,0,0,2,6,0,0,0,0
"cyi6ub9ml",6,0,1,1,1,1,0,1,0,2,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"2s7q8gfvp",8,2,1,3,0,0,2,2,1,2,0,1,1,6,4,1,12,3,2,1,0,0,0,0,2,0,1,0,1,1,2,1,1,0,0,0
"acqb9t47r",4,1,2,4,2,0,2,3,1,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,3,0,0,0,0,0
"zj6gfrin1",11,0,0,9,1,0,2,1,0,0,0,0,1,0,2,6,2,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0
"sl78xkm9r",5,2,5,0,0,16,0,2,4,0,1,0,3,0,3,0,2,0,1,0,0,2,0,7,1,17,0,1,0,0,0,1,2,1,0,0
"i4anxeml8",7,2,2,0,1,0,1,1,0,2,1,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hgdyx6cft",1,1,0,2,1,1,2,8,1,0,1,0,10,0,0,0,2,0,0,0,2,0,1,0,10,1,1,0,0,0,1,0,0,0,0,0
"nf6jcbqo5",9,0,1,8,1,1,2,0,0,0,0,0,0,0,2,4,1,0,1,2,0,0,0,0,0,0,1,0,0,1,0,6,1,0,0,0
"fmzwtx786",8,2,0,7,0,1,3,0,3,2,0,1,0,0,2,4,0,0,1,2,0,1,2,0,1,0,3,1,3,1,0,0,1,0,0,0
"9tbec8lo4",3,1,1,8,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"5wub37dpo",2,3,1,4,0,0,2,0,1,1,2,0,3,2,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
"3yb6r7iup",0,0,15,2,1,1,0,8,2,2,1,0,1,0,1,10,3,1,4,0,2,1,1,0,1,0,2,1,1,0,1,6,0,0,0,0
"aski4yr5n",0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0
"fq27g6w5n",2,2,1,5,2,1,2,0,5,3,0,0,0,2,2,1,1,1,0,0,0,0,0,0,1,0,3,1,2,1,0,1,0,0,0,0
"9kxqm4y3s",8,1,0,7,0,0,4,0,2,0,0,0,0,0,3,1,2,0,0,0,0,2,0,0,1,0,4,0,5,0,0,0,0,0,0,2
"js39x185g",4,1,0,0,1,1,2,7,0,0,1,1,5,0,0,0,1,0,0,0,2,1,0,0,8,0,1,0,1,0,3,0,0,0,0,0
"x3a917fl8",2,3,0,1,0,0,4,0,4,2,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,3,0,8,0,5,0,0,0,0,0
"b2usofm1r",1,1,3,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"98hdr4lsy",5,1,4,3,2,0,1,3,1,2,1,0,1,1,2,2,0,2,1,0,1,1,3,1,1,1,1,0,1,2,1,4,0,0,0,0
"soamw849y",3,4,3,6,2,1,2,0,2,1,2,1,0,9,2,15,9,1,2,6,1,0,7,2,0,1,0,0,0,0,0,7,1,0,0,0
"se8f4mjah",0,2,1,1,0,0,4,0,4,3,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,1,4,0,2,1,3,0,1,0,0,0
"hosifwyxa",6,1,2,0,1,0,11,10,9,3,0,1,13,0,1,1,1,0,0,3,1,0,1,2,4,3,10,3,5,1,3,0,0,0,0,0
"jctuzws3m",17,1,0,8,2,0,2,1,0,1,0,1,0,2,6,1,3,1,0,0,0,1,0,1,0,1,1,0,4,2,2,0,0,1,0,0
"jnlf8rwt3",2,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"zecdy2bsp",2,2,1,2,1,0,2,3,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"qgavpd85o",3,2,0,0,1,3,4,4,2,1,0,2,5,2,0,0,1,1,0,1,0,0,0,0,3,0,3,0,2,0,0,1,0,1,0,0
"teckvasrf",3,0,1,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"zwhlcndm4",4,1,1,1,2,0,0,0,1,0,0,1,0,2,3,7,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,9,0,1,0,0
"cgvq8d3yl",1,2,2,7,2,4,2,2,0,1,1,2,0,1,2,0,1,1,4,0,0,1,0,1,0,0,1,4,1,0,0,1,7,0,0,0
"ozv6x3awr",3,0,1,3,0,0,1,0,1,0,0,0,2,4,4,4,4,1,3,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
"ki5enbar3",7,6,2,0,1,2,3,0,1,1,0,1,1,1,2,2,5,0,3,2,1,0,2,0,1,1,3,2,2,0,0,1,0,0,1,10
"j7y4h6q2r",1,2,1,2,0,0,6,0,0,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0
"gzvxm9c28",10,3,0,12,1,0,1,1,0,1,1,0,1,1,2,0,2,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"wp5yqrgbd",12,2,1,7,2,0,9,6,6,2,2,4,9,1,5,1,2,0,1,4,0,2,2,0,11,0,5,2,7,7,4,1,2,0,0,0
"k6ib5xcsy",5,1,3,1,0,1,2,4,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0
"34uc9fxi7",2,2,1,0,2,0,0,0,3,2,0,0,1,8,1,0,6,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,15
"rmoeu6a85",3,3,0,2,0,1,1,1,1,0,0,0,0,0,2,4,1,1,2,0,0,0,0,1,1,0,0,1,0,0,1,4,2,1,0,0
"36ctfqzl7",7,2,4,0,1,2,3,2,0,1,0,3,1,13,4,0,13,3,0,0,2,0,1,1,1,2,0,0,0,1,0,2,2,1,0,0
"8gzb6qwjx",1,3,1,4,2,0,3,7,1,1,0,2,5,0,0,0,0,0,7,0,0,1,1,0,3,0,0,1,0,0,0,0,1,0,0,0
"r4v7bihap",9,2,0,5,2,1,1,1,1,1,1,0,1,0,5,0,1,0,0,0,1,0,0,2,1,2,4,0,2,0,0,0,1,1,0,0
"lhydgq3cj",10,3,2,3,0,4,0,1,1,0,1,0,0,7,1,13,8,3,0,0,1,0,3,0,2,2,1,0,0,2,0,5,0,0,0,0
"9gfemid74",6,2,2,1,2,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,2,0,0,0,0,1,1,9,2,1,0,1,0,0
"ylvrtoxgi",6,0,2,2,1,5,1,0,2,0,0,0,0,0,2,2,1,0,1,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0
"jk48sz2nq",9,2,4,3,1,0,0,2,3,1,0,0,1,2,2,9,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,5,1,0,0,0
"lg8if7svo",2,1,0,2,0,1,0,1,1,1,0,0,1,6,0,1,12,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"j4khfqxir",4,0,0,4,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"t4marlq2j",2,0,1,1,1,2,5,0,4,0,0,0,1,0,2,0,1,2,4,0,1,0,0,0,0,1,4,2,2,0,2,0,2,2,0,0
"f2l5sp7wg",12,1,4,11,1,3,0,2,1,0,0,0,1,1,6,4,0,0,1,1,0,3,1,0,1,0,1,0,0,0,0,6,0,0,0,0
"s2ehguxq7",6,2,2,4,0,0,0,15,0,0,0,1,6,0,2,4,2,0,3,1,3,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
"76qa3zwt4",0,3,0,6,0,0,0,1,0,1,1,0,1,1,2,2,1,0,14,0,0,0,0,0,3,1,0,8,1,0,0,1,7,0,0,0
"ewaxk2n35",9,2,2,7,1,0,0,0,2,2,1,0,0,1,3,7,0,0,3,2,0,3,2,0,0,2,0,2,0,0,1,5,7,0,0,0
"is68nlh1a",2,0,5,1,3,1,1,6,4,0,0,0,3,0,1,3,3,0,2,0,6,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1
"13j9dtyn2",18,1,1,5,0,0,0,4,0,0,0,1,0,0,7,0,3,0,1,1,1,0,1,1,1,0,0,0,2,0,0,1,1,1,0,0
"vfl7aicdn",7,3,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,2,1,1,2,0,0,0,7
"m2jreu7t9",5,3,0,3,1,1,1,1,1,0,0,1,0,0,3,3,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0
"93o1hmdel",2,0,3,0,1,1,3,6,0,3,0,2,9,1,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,1,0,0
"hflwecqn7",5,3,2,2,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,2,0,0
"l962qxuvc",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,8,0,0,0,1,1,0,1,1,3,0,0,0,1,2,0,0,0
"7dc2asmhi",1,1,2,0,0,0,2,0,2,2,1,2,0,1,0,1,0,0,1,0,0,0,1,1,1,1,2,1,5,0,3,2,0,0,0,0
"rsjtgihom",3,2,0,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"qeact92yf",6,1,1,7,0,0,0,0,1,1,3,0,0,1,0,1,1,1,8,0,0,0,0,0,0,1,0,2,0,5,2,0,3,0,0,0
"whaqdeb3o",8,5,1,2,1,1,0,1,0,1,0,1,0,2,7,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"9vl6brtak",2,1,1,2,1,3,6,11,1,2,0,2,9,0,0,4,7,0,4,3,0,0,1,0,8,1,1,1,1,0,2,3,0,1,0,0
"7hqp3bgl2",3,1,1,2,2,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,4
"behrmz83t",3,0,1,5,1,0,3,4,1,2,1,0,7,1,3,0,0,0,3,0,1,1,2,1,6,0,0,2,1,0,1,3,0,0,0,0
"dman5ye1j",5,3,0,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"fwasxolzm",3,1,4,0,1,1,1,3,2,0,0,0,3,0,1,0,0,1,1,2,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0
"jidntxk4v",1,1,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0
"tno9yac1w",1,1,0,0,2,0,1,1,2,2,1,1,0,18,1,10,13,6,2,0,1,1,0,0,0,1,0,0,0,1,3,5,2,1,0,0
"zqn3te8gc",2,0,1,2,2,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,1,1,0,0,9
"8z6rw5agi",4,2,2,1,1,2,1,0,0,0,1,0,0,23,0,0,24,6,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0
"dkaxst7fw",8,5,0,5,2,1,1,1,4,1,2,1,0,0,5,10,1,0,3,4,2,0,2,1,0,1,0,0,1,4,0,4,1,0,0,0
"1tiwc58mr",9,4,0,11,1,0,0,0,2,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,3,0,0,1,0,0,1,0,2,0,0,0
"ahjiveb9y",5,0,1,1,1,1,4,0,2,1,0,0,0,1,3,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0
"kyxgp6uhz",7,2,1,5,1,1,0,3,0,2,0,0,0,0,9,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,2,0,0
"2xeoh8mkt",4,2,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0
"suec2zmbo",0,1,6,1,0,0,1,6,1,0,0,0,4,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ov56hjlnm",3,2,0,6,1,0,1,1,2,0,0,2,4,1,3,9,0,0,3,0,0,0,1,0,1,9,0,1,1,0,0,7,0,0,0,0
"hfkuclgpy",3,0,2,2,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"jif4e3kw2",5,1,0,1,1,2,2,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
"41f7je9d8",3,2,0,6,1,1,2,1,0,0,2,0,3,1,6,0,0,1,2,1,0,0,1,1,4,0,1,1,0,0,0,0,0,1,0,4
"isc5py96v",9,1,2,2,2,1,3,1,2,0,2,0,1,1,1,0,2,1,1,0,0,1,0,3,0,0,0,2,0,9,5,1,3,1,0,0
"fu2o6tyr9",3,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0
"caihp78tw",2,3,1,3,1,0,0,2,0,1,0,0,0,0,2,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"qyzx7eldt",2,1,0,1,1,1,0,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
"snkrt19iu",2,1,1,3,1,2,0,1,0,0,0,1,0,11,1,1,11,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0
"5hxfisqbj",7,2,1,5,1,0,0,0,2,0,1,2,0,1,6,3,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,0,0,0
"p9vgmybsd",10,0,0,8,4,1,2,3,1,0,0,1,0,0,3,2,1,2,25,0,3,1,0,1,2,0,2,6,0,0,3,0,4,1,0,0
"d9jthzv2l",2,1,1,1,0,1,3,3,2,4,0,1,8,0,1,14,0,2,10,0,0,2,3,0,0,0,4,1,0,2,1,8,0,0,0,0
"xsdjm15o8",6,0,1,2,1,2,0,1,1,0,2,1,0,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"tvyfo7dhu",2,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ho3dumb5p",15,3,0,11,0,1,2,2,0,0,1,1,2,1,4,0,0,0,1,1,2,0,0,0,4,0,0,0,0,1,1,0,1,0,0,12
"a3yxfdcwm",11,0,1,6,1,0,0,1,1,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0
"hdbg8iewu",2,3,2,5,1,2,1,1,3,1,0,4,1,1,0,13,3,1,2,0,0,0,2,2,0,1,0,3,0,0,1,7,2,0,1,0
"8i7bztuyf",6,1,1,1,0,0,2,0,1,0,1,0,1,0,2,5,0,1,3,0,0,1,2,1,1,0,0,2,0,0,1,3,1,0,0,0
"3p8detb4h",0,3,0,0,0,0,4,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"9gyr3i4q6",5,2,1,0,1,0,2,1,0,1,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2jlbdxizo",3,2,2,5,1,2,2,1,0,1,1,0,0,1,2,1,0,0,18,0,0,2,3,1,1,0,0,6,0,1,1,2,12,0,0,0
"npuaoqrz6",2,3,0,1,0,1,1,0,4,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
"4ekuhld6t",5,0,0,3,4,3,2,4,3,1,2,4,0,1,0,4,6,1,2,0,1,1,2,0,0,1,3,0,0,0,0,2,1,0,0,0
"c3kno1v6b",14,3,4,7,1,3,0,3,0,1,1,2,1,0,5,0,1,2,6,1,3,6,0,2,1,1,0,7,1,11,5,1,5,0,0,0
"wv46cj73g",2,1,0,0,1,0,3,0,4,2,2,0,0,0,1,1,0,0,0,1,0,0,1,3,0,3,7,2,2,0,4,0,1,1,0,6
"rcukhms2e",5,0,4,1,1,0,3,9,2,0,0,2,2,0,0,0,1,1,0,2,2,1,0,1,0,0,5,1,3,0,1,0,0,1,0,0
"26x3lv17m",4,0,2,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"xsi6lhj2b",12,2,0,3,0,0,10,0,10,4,0,0,1,1,5,1,1,0,2,1,1,0,2,2,1,0,9,1,5,0,9,2,1,1,0,0
"9wc1mvbux",3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"kna3w9zg6",4,0,5,0,0,1,0,3,1,0,2,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"q6nyj5g14",12,1,2,2,1,0,2,1,0,1,2,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,2,1,10,1,0,2,1,0,0
"uyt2srman",4,1,1,3,0,1,3,1,5,3,1,3,0,5,0,0,5,2,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
"ymn58etf7",3,2,2,0,0,1,0,2,0,1,0,1,2,3,0,13,4,0,4,0,1,0,1,0,0,2,0,0,0,1,0,4,1,0,0,2
"eq1gflojm",13,1,0,6,0,0,0,2,0,2,0,1,0,0,3,0,1,1,0,0,0,0,0,2,2,0,0,0,1,1,1,1,0,1,0,0
"29ntgiuwe",14,1,0,7,3,2,1,3,1,1,1,1,0,3,5,1,0,1,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"nv4cmr8pu",3,2,2,4,2,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0
"dgbtvz1e6",1,1,11,0,1,2,0,9,0,0,1,3,5,0,1,0,2,1,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
"2ozbiemlw",4,1,1,6,0,0,3,1,4,2,1,1,2,1,0,24,0,0,7,2,1,0,4,0,1,1,2,0,1,2,1,4,1,0,0,0
"rjv4tpmaw",8,0,2,3,0,0,0,2,2,0,0,0,0,2,1,12,2,0,1,1,0,0,1,1,0,0,0,0,0,0,2,6,0,0,0,0
"itzq2yrnj",12,3,1,5,1,0,1,0,2,0,0,3,0,0,6,5,2,0,1,0,1,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0
"ckbmaendw",8,1,2,8,5,0,5,0,1,1,0,1,5,0,3,1,0,0,1,3,0,1,1,2,3,0,0,1,1,0,0,1,2,0,0,0
"8t96ljp3k",3,1,3,2,0,1,0,0,3,0,0,1,0,7,0,1,6,0,8,0,0,0,1,1,1,0,1,6,0,0,1,2,3,1,0,0
"lvt2pc7ni",12,3,1,7,1,0,5,2,2,3,0,0,0,3,6,0,0,0,0,0,1,0,0,0,1,0,4,1,1,0,1,1,0,0,0,0
"5uvnmpg89",7,2,1,2,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,9,2,0,4,0,0,0
"n3bi8vkor",4,0,0,0,0,1,2,1,5,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,4,1,2,1,0,0,0,0
"dgz5a3s4h",1,2,2,2,1,0,0,0,2,2,0,0,0,7,0,5,10,2,0,0,0,0,2,0,2,2,0,0,1,0,0,1,0,0,0,0
"gaumn97b3",5,2,0,3,1,0,1,0,0,0,1,2,1,0,1,1,0,0,12,1,0,0,1,0,1,0,0,4,0,0,0,0,11,0,0,0
"samxyo7nr",2,2,0,0,0,1,4,5,0,0,1,0,8,0,2,0,2,0,0,0,1,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0
"xf3dwatql",7,1,0,6,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"qlxu27pvd",3,4,1,4,1,0,1,0,1,0,0,1,0,1,2,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"ijqkou2w4",3,1,9,4,1,0,0,9,0,1,1,0,4,1,2,0,0,0,0,1,2,1,0,1,0,0,1,1,2,0,1,0,0,1,0,0
"qxkwvgad5",5,0,2,1,1,0,0,0,0,1,1,2,0,0,3,0,1,0,5,0,0,2,0,0,0,0,0,2,0,1,1,0,5,0,0,0
"7u2kaes86",4,2,1,1,0,1,0,1,1,1,0,3,0,3,0,0,8,2,12,0,1,0,0,0,0,0,1,1,1,0,1,0,4,0,0,0
"da5w6o1th",2,1,1,2,2,0,0,0,0,1,1,0,0,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0
"nhtgcupfs",10,2,2,4,0,1,2,1,1,0,3,0,1,0,2,7,3,0,0,0,0,0,1,0,0,1,1,0,0,1,1,5,1,2,0,0
