locus_of_control,self_concept,motivation,read,write,math,science,female
.32,.9,.67,33.6,51.5,41.9,49.8,1
-.6,.56,.33,36.3,43.7,44.3,47.1,0
1.16,.09,1,46.9,52.1,42.5,47.7,1
.45,-.91,.33,41.6,41.1,42.8,49.8,0
-.2,1.19,1,41.6,46.9,41.7,47.1,1
.22,-.57,1,61.1,67.1,64.5,50.4,1
.03,.03,1,41.6,43,44.5,39,1
.52,.34,1,46.9,64.5,59.6,49.8,1
.32,.65,1,54.8,61.9,58.1,58,1
.68,.03,.33,73.3,64.5,64,60.7,0
.96,.94,.67,46.9,50.2,46.5,47.1,1
-.6,.9,.67,46.9,61.9,45.4,33.6,1
.71,.03,1,68,61.9,72.2,66.1,1
.75,.34,1,47.4,41.7,51.6,38.5,1
.46,-.18,1,52.1,46.3,48.3,58,0
.46,.34,.67,62.7,61.9,52.9,44.4,1
-.45,-.64,.33,65.4,56.7,55.2,52.6,0
-.19,1.19,1,60.1,61.9,54.6,60.7,1
-1.33,.03,1,36.3,28.1,53.7,33.6,0
-.38,.03,1,38.9,41.7,37.7,44.4,0
.45,.03,1,49.5,46.3,52.9,52.6,1
.06,.03,0,38.9,41.1,32.7,41.7,1
-.18,.28,.33,44.2,51.5,46.1,47.1,1
.66,.34,.33,33.6,38.5,42.9,47.1,0
.71,.03,.33,46.9,46.9,41,41.7,0
.06,.03,.67,46.9,60.6,51.3,63.4,1
.23,-.6,1,57.4,67.1,68,59.1,1
-.24,.03,.67,45.8,54.1,49.5,47.1,1
1.11,.9,.33,55.3,50.2,41.7,58.5,1
.68,.88,1,46.9,61.9,53,52.6,1
.66,.34,1,56.9,49.5,49.5,50.9,1
1.16,.65,1,65.4,67.1,63.1,55.3,1
-.44,-.47,1,54.8,65.1,66.1,49.8,1
-.14,-.6,.33,44.2,48.9,54.3,49.8,1
.46,.56,.67,44.2,54.1,52.2,44.4,1
-.68,-.26,0,60.1,51.5,56.8,60.7,0
.46,.34,1,76,52.1,64.1,63.9,0
.46,-.47,.67,50,41.1,45.1,44.4,1
-.41,.03,.67,49.5,51.5,45.1,58,1
-.6,-.26,.67,49.5,41.1,38.4,52.6,1
-.51,-1.98,0,60.1,57.3,58.8,58,0
1.13,-.6,.67,73.3,67.1,71.3,63.4,0
1.13,.88,.33,49.5,51.5,52.7,55.3,1
.89,.65,.67,68,48.9,56.3,63.4,1
.06,.03,1,43.2,47.6,45.6,47.1,1
-.6,-1.43,1,38.9,51.5,38.6,39,0
.46,-1.17,0,68,62.5,65.4,60.7,1
.06,.03,.67,46.9,56.7,56.1,60.7,0
.26,-.26,0,49.5,56.7,43.8,47.1,1
.05,-.6,0,57.4,51.5,40.6,46.6,0
.47,.03,.67,62.7,59.3,48.8,55.3,0
-.03,-.16,0,33.6,43.7,42.6,47.1,0
.2,-.55,.67,60.1,61.9,48.7,49.8,1
-.14,.34,.33,49.5,46.3,44.8,58,0
-.41,.34,.67,52.1,38.5,57.9,52.6,0
-.44,-.22,0,44.2,33.3,40.9,47.1,0
.28,.03,.67,62.7,67.1,65.6,61.8,1
-1.3,.03,1,54.8,41.1,40.2,44.4,0
-.16,.03,1,57.4,57.3,64,58,1
.46,-1.17,.33,46.9,30.7,40.3,58,0
.71,-.06,.67,44.2,37.8,49.2,39,0
.2,-.47,.33,38.9,54.1,53.7,52.6,1
-.84,-1.09,.33,41.6,41.7,45.1,36.3,0
.22,.32,1,49.5,56.7,62.8,49.8,0
.47,.01,1,68,64.5,61.5,55.3,0
-.82,-.76,0,57.4,43.7,59.6,52.6,0
-2.23,1.19,1,36.3,38.5,39.3,39,0
.09,-1.42,.33,52.1,61.9,59.6,58,0
.1,.32,.67,40,40.4,42.4,48.8,1
.08,.94,.67,73.3,61.9,60.5,71.5,0
.06,.03,1,54.8,59.3,46.2,47.1,1
.03,.56,.67,65.4,67.1,63,66.1,0
-.61,.03,.33,44.2,54.1,40.3,52.6,1
.02,.03,.33,62.7,54.1,64.7,58,0
.46,.03,1,52.1,56.7,62.8,47.1,1
.94,-.3,1,60.1,67.1,52.4,55.3,1
.23,.03,1,65.4,56.7,65.4,58,1
.46,.03,1,65.4,51.5,61.4,60.7,1
.51,.03,1,54.8,54.1,66.4,41.7,1
.25,.03,.67,49.5,51.5,55.5,44.4,1
