"","Name","NameLen","Style","Price","Cancellation","Stars","Reviews","Superhost","Guests","Bedrooms","Beds","Baths","Description","DescLen","Amenities","Latitude","Longitude","PlazaDist","CanyonRdDist","CapitolDist","OperaDist","AirportDist","entire"
"61","apartment in wooded area 5 min.y from plaza",43,"entire apartment",85,0,5,30,0,4,1,2,1,"Serene, wooded setting in the foothills above Santa Fe, but just 5 min by car to the Plaza and opera. Light and airy one bedroom apartment with French doors opening from bedroom and living room to large flower filled patio with mountain view, outdoor dining area for 6, and lounge chairs. Fully equipped kitchen and washer and dryer. Rooms are filled with original art and living room has a fireplace and queen sized convertible couch.",435,12,35.72015,-105.93111,2.320621633,2.691064047,2.684738645,3.226200619,13.06304177,TRUE
"62","casita estrealla - walk to canyon rd and the plaza!",51,"entire house",168,0,5,3,1,4,1,2,1,"A very rare find in Santa Fe’s Historic Eastside, Casita Estrella is an exquisite one level one bedroom one bath vacation rental, featuring brand new construction with a contemporary flair yet very ""Santa Fe"". So close to the Plaza and Canyon Road. You can park your car and walk ever where from this fabulous location. The description and prices here are for the one bedroom detached home. You can rent this home with the two bedroom adjacent to it called Casa Estrella.",471,25,35.68127,-105.93677,0.442960659,0.622049089,0.214832241,5.766184641,11.45240523,TRUE
"63","comfortable 1bd in downtown sf",30,"entire house",77,1,5,212,1,2,1,1,1,"We are a 20 minute walk to downtown and 10 minute drive to the opera. We have ample off street parking, full kitchen, breakfast supplies, washer and dryer as well as a hair dryer and other toiletries.",200,40,35.69612,-105.95271,1.150985914,2.003132008,1.312906609,4.711978413,10.91977708,TRUE
"64","cozy private casita",19,"entire house",80,0,4.5,180,0,2,1,1,1,"Located in a quiet neighborhood in the heart of Santa Fe's charm. This private casita is great for 1-2 people and features a separate bedroom with one queen bed, a full kitchen, a covered front patio, parking, as well as a small back yard area.",244,12,35.66585,-105.96433,2.327154676,2.747364528,2.048752032,6.894249185,9.285087029,TRUE
"65","casa pacheco",12,"entire house",98,1,5,31,1,4,1,2,2,"Spacious, fully equipped townhouse with loft bedroom up: Queen bed, full bath, shower/tub. Roomy living room down with fireplace, Smart TV, Wifi, large comfy futon and 1/2 bath. Private Patio. Parking. Just over a mile from the Plaza, but only a block from the So. Capital Transit Station with buses to the Plaza, it's a 5 minute drive downtown. Near rail trail for stroll to Railyard Arts District. From there, take a shuttle to Plaza or Canyon Rd. Nearby restaurants, coffee shops, shopping, etc",497,20,35.67137,-105.95597,1.640450257,2.069583267,1.355802609,6.437374585,9.963485172,TRUE
"66","luna encantada",14,"entire house",175,1,5,49,0,6,3,3,1.5,"We invite you to share our enchanted New Mexico vacation home in Santa Fe. Experience spectacular sunrises over the Sangre de Cristo mountains, and enjoy our newly-upgraded home interior finishes while living within walking distance from shopping, food services, and the Historic Santa Fe Plaza. With three bedrooms, Luna Encantada is a desert oasis that can accommodate as many as six guests at one time.",405,19,35.69417,-105.96029,1.576394064,2.4164544,1.643974123,4.916982523,10.39923447,TRUE
"67","sweet 2-bedroom home, great location",36,"entire house",117,0,5,9,1,5,2,3,1,"This sweet home is located in an area convenient to downtown, Museum Hill, and the Railyard district. Walking distance to Trader Joe's, as well as other stores and several restaurants. Approximately a 30-minute walk or 5-minute drive to the Santa Fe Plaza. With great natural light, private outdoor spaces in the front and back yards, this cheerful, easy-to-inhabit home on a quiet street is a great, affordable home base for your visit to Santa Fe.",449,31,35.66922,-105.94754,1.405680734,1.605358591,1.054849186,6.556228566,10.45402393,TRUE
"68","contemporary loft in santa fe ~ railyard",40,"entire condominium",152,1,5,4,1,3,1,2,1.5,"Centrally located to many urban amenities, our Contemporary Loft offers the unique Santa Fe experience. Open, bright, spacious comfortable space adorn with local art & artifacts. Full working kitchen, dining & living room areas, loft sleeping with mountain views. A 2nd story outdoor patio offers mountain views, OW Lee seating & seasonal outdoor grilling. Walking distance to SFe' Railyard District, Whole Foods, Trader Joes, Guadalupe district shopping, galleries, museums, many eateries & more.",497,26,35.67622,-105.95118,1.169681339,1.657780494,0.898588743,6.078798523,10.39830208,TRUE
"69","elegant railyard casita",23,"entire cabin",81,1,4.5,9,0,2,0,1,1,"special railyard arts district downtown casita - studio perfect for a single or couple at the most .. Private, light , quiet, exquisitely furnished for a great santa fe stay.........walking distance to tune up cafe - one of Santa Fe's best, also walking distance to movies, farmers market .. close to Bike Path !!X!!",316,14,35.68142,-105.95825,1.426676483,2.107810275,1.284583638,5.764986746,10.10319726,TRUE
"70","canyon road studio/guest house",30,"entire guest suite",101,0,5,156,1,2,0,1,1,"Charming studio guest house, newly built, furnished and decorated, steps from Canyon Road and designed for comfort and convenience. This is better than a hotel, walk to everything, sleep in a heavenly king size bed and live like a local.",237,16,35.68057,-105.93134,0.686902689,0.252819686,0.590529997,5.87180264,11.78156623,TRUE
"71","canyon rd studio~parking, wifi, kitchenette",43,"entire apartment",114,1,4.5,297,1,2,1,1,1,"A SMALL (16x24 ft) comfy, private Studio casita in amazing location w viga ceiling, 3 skylights, 2 Windows, kitchenette, full bath with plush towels. New wall , electric fireplace. Queen-size bed with quality bedding. Kelìm rug on brick floor. Gorgeous courtyard w fruit trees and wrought iron table set. 3 Trek bicycles for your use (shared with other guests). Your very own parking spot! WIFI/Cable TV. Pets ok. ** If you want a larger space, please see my other listings",473,23,35.67883,-105.92076,1.364947083,0.5167144,1.331923879,6.164644382,12.42207361,TRUE
"72","artist retreat close to plaza & ski",35,"entire townhouse",224,1,4.5,35,0,8,3,4,2.5,"In local Santa Fe style, this rustic 3 bedroom 2 1/2 bath town home is the perfect location between two of Santa Fe's richest attractions: The Plaza, just several blocks away...about a 10 to 20 minute walk and the Santa Fe ski basin just 20 minutes away.",254,30,35.69201,-105.93225,0.537094189,0.797143677,0.84657768,5.083140837,12.04133305,TRUE
"73","sunflower northeast",19,"entire house",227,0,5,4,1,4,1,1,1,"The Sunflower Casitas are perfect for a couple`s getaway or a solo adventure to the City different. Every detail has been taken care of so you can arrive and relax as you begin your Santa Fe adventure.",201,16,35.68916,-105.94241,0.294489178,1.146010886,0.510204813,5.186559596,11.32269219,TRUE
"74","casa gabriella - 30% off february 2018",38,"entire house",744,0,4.5,1,0,8,4,4,4,"7 Fireplaces + 7 French Doors = A House of Fire and Light. 4 bedrooms/bathrooms, an in-ground hot tub, plenty of parking, and easy walking to Canyon Rd and the Plaza...Casa Gabriella is your Santa Fe escape!",207,15,35.68457,-105.93038,0.596803253,0.284272221,0.663529683,5.613319222,11.94837115,TRUE
"75","the lincoln 304_1 bed, 1 bath loft studio",41,"entire loft",192,0,5,3,1,2,1,1,1,"The Lincoln Residences are the flagship luxury condo homes in the AdobeStar Properties portfolio. The hi-rise building and the residences within define what is Downtown Luxury, Santa Fe Style.",192,14,35.68812,-105.93773,0.072554801,0.831068303,0.425018459,5.287794396,11.58371095,TRUE
"76","historic casa bella!",20,"entire condominium",284,0,4.5,1,0,4,1,2,2,"Charming 2 bed casita right now Acequia Madre! You`ll be less than a half block to Downtown Subscription (stop off for a latte!) and just one to Canyon Rd! One off-street parking and high fence for privacy, great for Four nights or Four months!",244,13,35.68057,-105.93227,0.64192995,0.315842905,0.527695775,5.860276089,11.72187565,TRUE
"77","beautiful 3 bedroom condo!",26,"entire apartment",193,1,5,67,0,6,3,5,2,"Spacious and fully furnished 3 bedroom 2 bath condo less than a mile from the Plaza. Bishops Lodge Road is an exclusive gated condominium complex walking distance from the Plaza, art galleries, museums and restaurants. About 10 miles away from the ski slope.",258,16,35.69536,-105.93209,0.706197678,1.011384023,1.045563325,4.858690569,12.15260274,TRUE
"78","full moon at casa de tres lunas",31,"private room",320,1,5,7,1,4,2,2,1.5,"Downstairs apartment. Fully furnished with Moroccan and Chinese décor. Wood burning fireplace, radiant heat, saltillo tile floors, crystal chandeliers. But wait, there's more!» Off-street parking.» One free museum pass (a $20 value).» Wine club voucher good at Rio Chama and La Casa Sena restaurants.» DirecTV with premium HBO channels.» Light house keeping on stays of three days or more.» Snack basket, coffee, juice and milk provided.",437,28,35.68609,-105.93384,0.336733388,0.530631956,0.482737804,5.465530803,11.77050684,FALSE
"79","historic artist's guest house close to canyon road",50,"entire house",275,0,5,6,0,2,1,1,1,"Come to Santa Fe and wrap yourself in what makes us the City Different. Our historic casita originally belonged to the painter, Sheldon Parsons. A calm adobe retreat with 21st century amenities: private hilltop garden, hotel quality king bed, Italian linens, Los Poblanos toiletries, radiant heat, central air, Jacuzzi and oversized stall shower, a true cook’s kitchen and outdoor gas grill, we're a few blocks from Canyon Road. Perfect for resetting your personal creative clock.",480,22,35.68282,-105.92465,1.011021606,0.237937051,1.041659814,5.824313166,12.26904605,TRUE
"80","fun santa fe suite in artistic home",35,"private room",82,1,5,12,1,3,1,1,1,"Comfy Queen Bed in beautiful spacious home. Private bath w/skylight. WiFi. Gourmet Kitchen. Private Guest Refrigerator. Second Bedroom upon request. Large Living/Dining rooms. Grand piano. Off-street parking. Quick drive to Plaza. Complementary parking downtown at my Gallery. Discounted private pottery classes with Heidi Loewen!",330,17,35.64334,-105.95132,3.175716654,3.094975254,2.812253143,8.3516412,9.723622301,FALSE
"81","north hills casa",16,"entire house",365,1,4.5,4,0,7,3,4,3,"North Hills Casa - 3 bedrooms, 3 baths. 2 ensuite baths, 1 bath at hall, walk-in showers, 1 Jacuzzi. Blocks to Historic Canyon Road Arts District of galleries, boutiques, and restaurants. Cooks kitchen, breakfast area for 4+, dining seats 6. King Tempurpedic bed. Full laundry room with sink. Cable television and wireless internet . 3 kiva wood burning fireplaces. 3 outdoor spaces. Al fresco dining. 2 car garage. Approximately 2500 square feet of comfort.",458,17,35.68719,-105.91338,1.739063321,1.073735736,1.851762346,5.799766136,13.10513754,TRUE
"82","new! 2br santa fe adobe home - walk downtown!",45,"entire house",238,0,4.5,0,0,4,2,2,2,"The vibrant city of Santa Fe awaits at this 2-bedroom, 2-bathroom vacation rental house! Offering sleeping arrangements for 4 guests, this cozy adobe-style home is ideal for 2 couple or a small family on an exciting getaway. Walk 5 minutes to downtown for dining, shopping, and the arts before returning to your home-away-from-home to relax and grill out on the private patio. Whatever your hobbies or interests, Santa Fe and the Land of Enchantment offer something for you!",474,12,35.68906,-105.94679,0.583058006,1.418111003,0.677623331,5.183770033,11.0482349,TRUE
"83","quiet and secluded respite space",32,"private room",97,0,4.5,25,0,2,1,2,1,"Enjoy your private space in the heart of Santa Fe's most historic area. Savior a morning tea or sunset wine & chocolate on the patio. Canyon Road, the Plaza, Upaya Zen Center, galleries, restaurants and parks are all within a 12 ~ 15 minute stroll.",248,19,35.68505,-105.91467,1.657946063,0.94140674,1.74179354,5.901280335,12.96796776,FALSE
"84","blocks from santa fe plaza, 2-bedroom adobe condo",49,"entire condominium",237,0,4.5,4,0,6,2,3,2,"Experience the rich culture and history of Santa Fe from this deluxe 2-bedroom condo just blocks from the plaza in downtown Santa Fe. This cool and inviting adobe condo is filled with all the comforts of home, including a full kitchen and authentic kiva fireplace.Relax in the large living and dining areas, or retreat to the plush comfort of two private bedrooms, each featuring queen beds. Prepare meals in the comfort of your own condo. Go for a refreshing walk around the manicured grounds.",494,18,35.69224,-105.93362,0.474955826,0.852453807,0.805994804,5.049329528,11.96272081,TRUE
"85","new moon at casa de tres lunas",30,"private room",177,0,5,7,1,2,0,1,1,"Designed for those who desire an unfettered weekend getaway. Include wood burning kiva fireplace, small dinning area. Well appointed sky lit bathroom. Fine pressed linens. But wait, there's more!» Off-street parking.» Free museum passes (a $20 value per pass).» Wine club voucher good at Rio Chama and La Casa Sena restaurants.» DirecTV with premium HBO channels.» Light house keeping on stays of three days or more.» Snack basket, coffee, juice and milk provided.",464,22,35.68612,-105.93457,0.287863581,0.572557102,0.442426729,5.455298491,11.72519273,FALSE
"86","casita espiritu - perfect location!",35,"entire apartment",115,0,4.5,14,0,2,1,1,1,"Casita Espíritu is a luxury one bedroom with the Santa Fe style and the finest amenities. Off-street parking compliment the ideal location; Walk to a local bakery, international food market, Plaza, Farmer's Market and more!",223,31,35.67959,-105.94491,0.699621694,1.191570422,0.406224018,5.840598023,10.88878999,TRUE
"87","sunflower north west",20,"entire house",205,0,5,5,0,4,1,1,1,"The Sunflower Casitas are perfect for a couple`s getaway or a solo adventure to the City different. Every detail has been taken care of so you can arrive and relax as you begin your Santa Fe adventure. Off-street parking, 1 bed, 1 bath, linens, towels, robes and everything else you need is provided. the sunflowers all adjoin patios but remain separate units so you can enjoy your privacy even if you are part of a larger family or reunion group.",447,32,35.68921,-105.94129,0.227756623,1.079930191,0.490468991,5.188429462,11.39384417,TRUE
"88","delgado artist retreat-studio b-1",33,"entire apartment",192,0,5,3,1,2,1,1,1,"This charming, artistic 1 bedroom with king bed has high ceilings with beams, fully equipped kitchen, light bathroom with custom-tiled shower and a bright open artistic Southwest style.",185,15,35.68494,-105.93027,0.596094902,0.300079465,0.677371909,5.58984085,11.96537444,TRUE
"89","adoves on sena - la casa",24,"entire house",540,0,4.5,2,0,8,3,3,3,"Tastefully decorated 3 bedroom home in South Capitol. Ducted A/C, two kings, a queen, a full-size sleeper. Part of a compound with the option for two optional, additional 1-bed guest casitas: Primera Luz and Puesta de Sol!",222,14,35.67731,-105.9435,0.780187796,1.12352774,0.433858452,6.001405972,10.91739703,TRUE
"90","casa de la plaza",16,"entire townhouse",241,1,4.5,1,0,4,2,2,2.5,"Come enjoy modern meets heart of Santa Fe. Fort Marcy complex is 5 blocks from the plaza and one of the last complexes on the way to the ski basin. From the deck of the condo enjoy unfettered views of the Jemez Mountains and Fort Marcy Park for Zozobra viewing. The Condo has 2 beds and 2 1/2 baths plus a pull out couch for your sleeping arrangement needs.",357,25,35.69132,-105.93212,0.518061338,0.749735537,0.81498825,5.131703178,12.02903955,TRUE
"91","alma compound oasis, 2 bedrooms, fireplaces, patio, wifi, sleeps 4-…",68,"entire house",331,0,4.5,0,0,4,2,2,2.5,"Are you looking for luxury and comfort during your stay in Santa Fe? Alma Compound Oasis provides a beautiful and spacious vacation rental for four featuring two bedrooms and two and a half bathrooms. You will fall in love with the luxurious accommodations, gorgeous furnishings, multiple fireplaces, and the magnificent private outdoor space. Featuring an open floor plan, you and your guests will enjoy the wonderful flow of the main living area, kitchen and dining area. With exceptional attention to detail, guests will love the beautiful wood ceilings and furnishings. At Alma Compound Oasis, the main living area offers a large sofa and loveseat to accommodate you and your guests and the large windows provide a great amount of natural light to fill the space. This area will allow you and your guests the perfect spot to rest and relax after a busy day exploring! The gorgeous kitchen offers stainless steel appliances as well as plenty of counter space to prepare your favorite home cooked meals. The kitchen is fully equipped with a dishwasher, microwave, refrigerator and freezer, stove top with oven as well as cooking and eating utensils to cook up some delicious meals during your stay at Alma Compound Oasis. The open concept allows you to enjoy your guests while cooking and taking care of the dishes. There is an adjoining dining area featuring a large dining table with seating for six as well as a wonderful fireplace to give your dinner the perfect ambiance. If you prefer to spend your time outdoors, Alma Compound Oasis provides a luxurious, private outdoor area that will surely please you. Offering a table with umbrella and chairs, you and your guests will be able to take in the sights and sounds of the Koi pond and the lush surroundings. Dive into a good book, enjoy your morning coffee and even enjoy a cold beverage before bed out here. There is plenty of space and shade for you to kick back and relax during your stay. Alma Compound Oasis is a two-story home with the main living areas upstairs and the bedrooms downstairs. The private master bedroom offers a king-sized bed, armoire and access to the outdoors. If there is a chill in the air, do not hesitate to light up the fireplace to bring some warmth to the room. The luxurious master bathroom, space and comfort are a top priority. Featuring a soaking tub, double vanity and loads of counter space, you will love the peacefulness and privacy. The second bedroom offers a queen-sized bed and closet space to hang your belongings. Your guests will enjoy their stay at Alma Compound Oasis in this lovely room. The guest bathroom features beautiful tile work and all the amenities they will need during their stay. A half-bath is also located in this home. Bed linens and towels are provided for all guests for the duration of your stay. Alma Compound Oasis also provides a desk if you find yourself needing to get some work done during your trip to Santa Fe. Tucked away, you will find peace and quiet to focus and get your work done. Also included in this rental, guests can keep up with their dirty laundry by using the washer and dryer. You and your guests will truly enjoy their time in Santa (Email hidden by Airbnb) fort, luxury and beautiful furnishings can all be found at Alma Compound Oasis. You and your guests can relax in the outdoor space near the Koi pond, in the gorgeous main living area or you can retreat to your own bedroom to get away from the hustle and bustle of the day. Alma Compound Oasis is beautiful and spacious. Your trip to Santa Fe will be one to remember, so do not wait- call today to book your stay!",3620,7,35.69089,-105.93309,0.445375835,0.752947133,0.749743435,5.147884248,11.95566486,TRUE
"92","apodaca - two casitas - spacious and inviting",45,"entire house",386,0,5,6,1,6,3,4,2,"Description to come...",22,25,35.67701,-105.91448,1.812382963,0.968438744,1.782481375,6.423993808,12.78971504,TRUE
"93","corazon - luxury rental close to the plaza",42,"entire house",514,0,4.5,1,1,10,3,5,3,"Thank you for considering Corazon with Two Casitas!",51,25,35.67725,-105.93677,0.714499885,0.684723789,0.40385668,6.042250578,11.34773165,TRUE
"94","west manhattan suites",21,"entire bungalow",153,0,4.5,2,0,4,1,2,1,"Two Suites in a charming Victorian-era house within walking distance to the historic plaza, farmer's market, movie theaters, Canyon Road, the Railyard district, many museums and restuarants. Each unit in this double brick building is furnished in period antiques and has a wood-burning fireplace, cable TV, pocket kitchenette and porch with yard. The bedroom has a queen bed and the living room has a queen sofa-bed. This building is on the New Mexico list of Historically Significant Properies.",495,18,35.68176,-105.94266,0.485627345,1.029737534,0.208128421,5.696621077,11.09142253,TRUE
"95","puertas de canyon road, 2 bedrooms, fireplace, wifi, garage, speels 4 - condo",77,"entire place",346,0,4.5,0,0,4,2,2,2,"The location everyone wants, 1 block off Canyon Road, awaits you and your pet! Big, beautiful home with a woodsy view, patio, fenced yard, and luxe furnishings right in the historic heart of Santa Fe! Puertas de Canyon Road is probably named for its hop-skip-jump access to the famous half-mile of galleries, shops, restaurants, and historic sites, but you could also take the word ""doors"" literally. There are multiple doors in this lovely home, including glass doubles and sliders leading out to the charming brick patio and big, friendly yard. Santa Fe's enviable weather makes indoor-outdoor living a reality almost year-round, and you'll love sitting on the covered patio watching the snow or at the ironwork, table soaking in the sun! Like the city itself, Puertas de Canyon Road is never out of season -- making it a great destination for your pet as well as your family! Step into the entryway of Puertas de Canyon Road and you immediately know you're going to love it here. The big living room is dominated by a traditional mantel fireplace surrounded by cushy armchairs and a couch that opens into a queen-sized sleeper. A large flat-screen TV stands at the ready in one corner and a desk in another, but the furniture is arranged for conversation and fun. Wood flooring and open beams add a coziness to this room, and a wide bank of sliding glass doors lets sunshine spill in from the patio. You're home -- and if your dog is with you, you can watch that wagging tail exploring the yard from the comfort of your armchair! The first order of business may be snacks and drinks for everyone, and you will find Puertas de Canyon Road quite convenient in helping you prepare without having to leave the action in the living room. A wide breakfast bar divides kitchen from living room, with several stools for the ankle-biters in your group. Set them coloring or playing as you whip up tasty nibbles and delicious drinks! This is a full working kitchen, so all you need bring is groceries. Whether you're making on-the-go snacks or preparing homemade feasts from scratch, Puertas de Canyon Road is equal to the task. Pots and pans? -- Check. Cooking tools and gizmos of every description? -- Check. Dishes, flatware, and glasses to spare? -- Double check! And more importantly, you have a dishwasher in which to toss everything! Whether you're just grabbing coffee and toast in the morning or using the fine produce at Santa Fe's farmer's market to concoct an unforgettable meal, you'll find the kitchen a pleasure to use. A charming wooden table beside a sideboard seats 6 comfortably beneath a modern chandelier, with a nice view through yet more sliding doors. Make this your command center: it's great for setting up laptops, laying out a puzzle, or playing a wild round of Uno after dinner. Of course, you can also use it for meals, but if it's not snowing, you just might have to carry those outdoors for a little al fresco dining! You won't want your evening at Puertas de Canyon Road to end, but when you must retire to bed, one glance at the accommodations shows you that you're in for a great night's sleep. Both bedrooms have king-sized beds because nobody really wants anything less. The master suite includes a big flat-screen TV (classic movie channel, anyone?!), two very plump and roomy reading chairs, and something you won't find in most Santa Fe homes: carpeting! The en-suite bath includes a tiled shower and tub combo, a decorated ceramic basin, and all the towels you could wish, plus extras. (Linens and pillows are provided, too.) The second bedroom is dominated by the king-sized bed and a wall-long entertainment center, complete with a flat-screen TV for your enjoyment. In another corner stands a Mission-style chair, and there is plenty of closet and storage space here. This bedroom shares a full bath (with walk-in shower and decorative tiling) with the living area of the house. You will also find a washer and dryer tucked away at Puertas de Canyon Road -- we've thought of everything! You will love exploring the outdoor spaces here too. A large ironwork table and chairs stand on the open patio, with other seating available as well. Feel free to use the charcoal grill. Walled, private, and nicely landscaped, the backyard is a little haven right in the middle of the city. You are going to have so much fun here -- come stay at Puertas de Canyon Road as soon as you can! Permit # (Phone number hidden by Airbnb) ",4454,7,35.68272,-105.92655,0.889781567,0.125267131,0.910075634,5.797521886,12.14445286,TRUE
"96","2400 sq.ft. adobe home downtown",31,"entire house",274,0,5,28,1,8,2,4,3,"(Ck calendar - availability) Within walking distance to downtown Santa Fe, this historic real adobe home is the epitome of Santa Fe charm. It provides a comfortable home away from home for you to explore what this great historic city has to offer.",247,19,35.6803,-105.94068,0.5153314,0.895630564,0.15405957,5.806177695,11.17712542,TRUE
"97","spacious sunlit guest suite",27,"private room",107,1,5,19,1,2,1,1,1,"Elegant Santa Fe spacious Master Suite. California King bed w/Pillowtop. Private Bath. Free WiFi. Gourmet kitchen. Refrigerator. Living/dining rooms. Grand piano. Off-street parking. Second Bedroom possible. Quick drive to Plaza. Complementary parking downtown at my Gallery near O'Keeffe Museum. Discounted private pottery wheel classes with Heidi Loewen!",356,15,35.64328,-105.95186,3.190305403,3.118298468,2.827118115,8.357208061,9.686149114,FALSE
"98","casa monte vista",16,"entire condominium",269,0,4.5,3,0,5,2,3,2.5,"Casa Monte Vista - a 2 block walk to the downtown Plaza and Canyon Road historic arts district. Open living room, dining room, kitchen. Two wood burning fireplaces. Master queen bedroom offers cable tv, ensuite bath with 2 sinks, shower/tub combo. Queen loft bedroom plus daybed, cable tv. Small outdoor space. 2 car garage, full laundry. Internet. Couples, solo adventurers, business travelers, families (with kids), and furry friends (pets). Approximately 1,300 sq ft VRP# UPON REQUEST",487,16,35.69257,-105.93498,0.431708653,0.919970866,0.781831199,5.010424198,11.88801841,TRUE
"99","the lincoln residence 402",25,"entire condominium",336,0,4.5,3,1,4,2,2,2.5,"The Lincoln Residences are the flagship luxury condo homes in the AdobeStar Properties portfolio. The hi-rise building and the residences within define what is Downtown Luxury, Santa Fe Style.",192,17,35.68912,-105.93802,0.12190964,0.887633165,0.485855383,5.21671304,11.595041,TRUE
