"name","party","state","chamber","repshare","cs1","cs2"
"Mark Udall","D","CO","H",0.412983387708664,-0.299,0.11
"Joe Baca","D","CA","H",0.411720544099808,-0.262,0.099
"Steven Rothman","D","NJ","H",0.411580294370651,-0.285,-0.207
"Bill Pascrell","D","NJ","H",0.411234050989151,-0.294,-0.098
"Daniel Lipinski","D","IL","H",0.409355938434601,-0.222,0.158
"Ellen Tauscher","D","CA","H",0.40863448381424,-0.252,-0.238
"Lois Capps","D","CA","H",0.408611506223679,-0.321,-0.317
"Dale Kildee","D","MI","H",0.408216863870621,-0.321,-0.04
"Linda Sanchez","D","CA","H",0.407599747180939,-0.403,-0.273
"Hillary Clinton","D","NY","S",0.40712234377861,-0.328,-0.11
"Chuck Schumer","D","NY","S",0.40712234377861,-0.313,-0.31
"Bennie Thompson","D","MS","H",0.405163705348969,-0.397,0.235
"Emanuel Cleaver","D","MO","H",0.40410578250885,-0.35,-0.201
"James McGovern","D","MA","H",0.402901291847229,-0.43,-0.226
"Jane Harman","D","CA","H",0.401751905679703,-0.227,-0.163
"Richard Neal","D","MA","H",0.400659263134003,-0.333,-0.139
"Brad Sherman","D","CA","H",0.398208916187286,-0.3,-0.232
"Patrick Leahy","D","VT","S",0.396989971399307,-0.355,-0.054
"Jack Reed","D","RI","S",0.394224882125854,-0.363,-0.171
"Robert Andrews","D","NJ","H",0.394072920084,-0.255,-0.168
"John Larson","D","CT","H",0.393261611461639,-0.333,-0.151
"Sander Levin","D","MI","H",0.392855584621429,-0.305,-0.16
"James Clyburn","D","SC","H",0.391641050577164,-0.374,0.086
"Mike Thompson","D","CA","H",0.391185939311981,-0.319,0.189
"Doris Matsui","D","CA","H",0.382879018783569,-0.358,-0.249
"John Dingell","D","MI","H",0.382198333740234,-0.427,0.218
"Susan Davis","D","CA","H",0.380809158086777,-0.268,-0.267
"Adam Schiff","D","CA","H",0.378888875246048,-0.268,-0.236
"Tammy Baldwin","D","WI","H",0.376454174518585,-0.446,-0.299
"Betty McCollum","D","MN","H",0.375062346458435,-0.352,-0.288
"Edward Kennedy","D","MA","S",0.372571438550949,-0.427,-0.286
"John Kerry","D","MA","S",0.372571438550949,-0.353,-0.188
"Melvin Watt","D","NC","H",0.372360229492188,-0.44,-0.317
"Tim Ryan","D","OH","H",0.37196946144104,-0.324,0.126
"Patrick Kennedy","D","RI","H",0.371206134557724,-0.33,-0.132
"Hilda Solis","D","CA","H",0.370120614767075,-0.406,-0.332
"Lloyd Doggett","D","TX","H",0.369671761989594,-0.356,-0.21
"Gary Ackerman","D","NY","H",0.36786487698555,-0.374,-0.257
"Louise Slaughter","D","NY","H",0.363320082426071,-0.366,-0.154
"Mike Honda","D","CA","H",0.363303452730179,-0.43,-0.454
"Debbie Wasserman Schultz","D","FL","H",0.361813127994537,-0.327,-0.235
"Stephen Lynch","D","MA","H",0.36159810423851,-0.299,0.051
"John Olver","D","MA","H",0.359370619058609,-0.455,-0.243
"Zoe Lofgren","D","CA","H",0.358835399150848,-0.344,-0.476
"David Scott","D","GA","H",0.357941091060638,-0.23,0.083
"James Moran","D","VA","H",0.354968816041946,-0.258,-0.274
"Artur Davis","D","AL","H",0.35471385717392,-0.209,0.139
"Corrine Brown","D","FL","H",0.350611388683319,-0.333,-0.018
"Grace Napolitano","D","CA","H",0.339701950550079,-0.352,-0.233
"Barney Frank","D","MA","H",0.338808387517929,-0.427,-0.496
"Robert Wexler","D","FL","H",0.337526679039001,-0.319,-0.298
"Sam Farr","D","CA","H",0.334792941808701,-0.381,-0.305
"Edward Markey","D","MA","H",0.334043890237808,-0.416,-0.404
"Robert Scott","D","VA","H",0.333393603563309,-0.374,-0.104
"Henry Waxman","D","CA","H",0.331153273582458,-0.409,-0.373
"Eliot Engel","D","NY","H",0.330449014902115,-0.328,-0.274
"Rahm Emanuel","D","IL","H",0.329663425683975,-0.296,-0.202
"Earl Blumenauer","D","OR","H",0.328533738851547,-0.369,-0.623
"George Miller","D","CA","H",0.321584969758987,-0.438,-0.371
"Jan Schakowsky","D","IL","H",0.316418766975403,-0.465,-0.305
"Diana DeGette","D","CO","H",0.310968160629272,-0.356,-0.398
"Robert Menendez","D","NJ","H",0.310540765523911,-0.319,-0.176
"Anna Eshoo","D","CA","H",0.30613175034523,-0.321,-0.47
"Chris Van Hollen","D","MD","H",0.304657697677612,-0.309,-0.308
"Lucille Roybal-Allard","D","CA","H",0.302234411239624,-0.38,-0.346
"Harold Ford","D","TN","H",0.301424860954285,-0.293,0.19
"Michael Doyle","D","PA","H",0.30044361948967,-0.269,0.139
"Al Green","D","TX","H",0.300105541944504,-0.33,-0.076
"Gwen Moore","D","WI","H",0.299911379814148,-0.425,-0.466
"Lynn Woolsey","D","CA","H",0.285740464925766,-0.469,-0.535
"Pete Stark","D","CA","H",0.282778531312943,-0.536,-0.53
"Howard Berman","D","CA","H",0.281948328018188,-0.349,-0.358
"Martin Sabo","D","MN","H",0.281019955873489,-0.428,-0.117
"Sheila Jackson-Lee","D","TX","H",0.280337870121002,-0.374,-0.074
"Cynthia McKinney","D","GA","H",0.278182744979858,-0.452,-0.505
"Tom Lantos","D","CA","H",0.275736749172211,-0.309,-0.098
"Jerrold Nadler","D","NY","H",0.271013826131821,-0.422,-0.53
"John Lewis","D","GA","H",0.27081298828125,-0.477,-0.274
"Elijah Cummings","D","MD","H",0.265818387269974,-0.34,-0.273
"Joseph Crowley","D","NY","H",0.255604058504105,-0.318,-0.13
"Eddie Johnson","D","TX","H",0.249073177576065,-0.394,0.073
"William Clay","D","MO","H",0.248026862740517,-0.403,-0.21
"Carolyn Maloney","D","NY","H",0.247856691479683,-0.306,-0.342
"Alcee Hastings","D","FL","H",0.243325740098953,-0.45,0.035
"William Jefferson","D","LA","H",0.242418125271797,-0.341,0.093
"Xavier Becerra","D","CA","H",0.219036892056465,-0.415,-0.326
"Al Wynn","D","MD","H",0.210975661873817,-0.308,-0.088
"Luis Gutierrez","D","IL","H",0.207989305257797,-0.394,-0.258
"Maxine Waters","D","CA","H",0.202045470476151,-0.524,-0.248
"Jim McDermott","D","WA","H",0.195817798376083,-0.524,-0.263
"Michael Capuano","D","MA","H",0.195482641458511,-0.443,-0.021
"Carolyn Kilpatrick","D","MI","H",0.192739769816399,-0.394,-0.307
"Nydia Velazquez","D","NY","H",0.187183126807213,-0.441,-0.363
"Stephanie Jones","D","OH","H",0.180692166090012,-0.412,-0.151
"Donald Payne","D","NJ","H",0.179383173584938,-0.484,-0.483
"John Conyers","D","MI","H",0.174283400177956,-0.606,-0.491
"Bobby Rush","D","IL","H",0.168784782290459,-0.38,-0.321
"Kendrick Meek","D","FL","H",0.166359394788742,-0.28,-0.038
"Danny Davis","D","IL","H",0.165647998452187,-0.399,-0.42
"Diane Watson","D","CA","H",0.161215290427208,-0.425,-0.391
"Jesse Jackson","D","IL","H",0.159680798649788,-0.44,-0.555
"Gregory Meeks","D","NY","H",0.150434494018555,-0.347,-0.288
"Nancy Pelosi","D","CA","H",0.142525315284729,-0.415,-0.361
"Edolphus Towns","D","NY","H",0.131941378116608,-0.438,-0.192
"Major Owens","D","NY","H",0.131632685661316,-0.49,-0.461
"Barbara Lee","D","CA","H",0.127626940608025,-0.555,-0.602
"Chaka Fattah","D","PA","H",0.124384425580502,-0.384,-0.233
"Jose Serrano","D","NY","H",0.10192234814167,-0.413,-0.414
"Charles Rangel","D","NY","H",0.0935841500759125,-0.468,-0.329
